aeroplanes;Aeroplanes;Avions;Flugzeuge;;Aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory;Aeroplane Factory;Usine d'avions;Flugzeugfabrik;;Fábrica de aeroplanos;;;;;;;;;x;;;;,,,,,,,,,,,
aeroplane_factory_desc;Machine parts, electric gear and rubber are needed to produce aeroplanes.;Des pièces mécaniques, des composants électriques et du caoutchouc sont nécessaires pour produire des avions.;Zum Flugzeugbau sind Maschinenteile, Elektroteile und Gummi erforderlich.;;Para hacer aeroplanos se necesitan componentes eléctricos, caucho y piezas de maquinaria.;;;;;;x;;;;;;;,,,,,,,
canned_food;Canned Food;Nourriture en boîte;Konserven;;Conservas;;;;;;;;;x;;;;,,,,,,,,,,,
canned_food_factory;Canned Food Factory;Conserverie alimentaire;Konservenfabrik;;Fábrica de conservas;;;;;;;;;x;;;;,,,,,,,,,,,
canned_food_factory_desc;Iron and Cattle are necessary to produce canned food. This canned food is primarily used to provide foodstuff for the armed forces because of it's long hold-up time.;Du fer et du bétail sont nécessaires pour produire des conserves. Compte tenu de sa longue durée de conservation, ce type de nourriture est principalement destiné aux forces armées.;Eisen und Vieh sind zur Konservenproduktion erforderlich. Diese Konserven werden wegen ihrer langen Haltbarkeit hauptsächlich von den Streitkräften abgenommen.;;Hierro y ganado son necesarios para hacer conservas. Esta comida se utiliza principalmente para alimentar a las fuerzas armadas, porque es muy duradera.;;;;;;x;;;;;;;,,,,,,,,,
cattle;Cattle;Bétail;Vieh;;Ganado;;;;;;;;;x;;;;,,,,,,,,,,,
cattle_RGO_SIZE;Cattle ranch size;Taille de l'élevage de bétail;Viehranchgröße;;Tamaño del rancho de ganado;;;;;;;;;x;;;;,,,,,,,,,,,
cement;Cement;Ciment;Beton;;Cemento;;;;;;;;;x;;;;,,,,,,,,,,,
cement_factory;Cement Factory;Cimenterie;Betonfabrik;;Fábrica de cemento;;;;;;;;;x;;;;,,,,,,,,,,,
cement_factory_desc;Cement is a building materiel used to build sturdy objects like fortresses or bridges. Coal is required to produce cement.;Le ciment est utilisé pour construire des édifices robustes comme les forteresses ou les ponts. Du charbon est nécessaire pour produire du ciment.;Beton ist ein Baumaterial für solide Objekte wie Festungen oder Brücken. Zur Betonproduktion ist Kohle notwendig.;;El cemento es el material de construcción que se utiliza para erigir obras resistentes, como fortalezas o puentes. El carbón es necesario para producir cemento.;;;;;;x;;;;;;;,,,,,,,,,,
clipper_convoy;Clipper Convoys;Convoi de voiliers marchands;Klipper-Konvoi;;Convoy de clíperes;;;;;;;;;x;;;;,,,,,,,,,,,
clipper_shipyard;Clipper Shipyard;Chantier à voilier marchand;Klipperwerft;;Astillero de clíperes;;;;;;;;;x;;;;,,,,,,,,,,,
clipper_shipyard_desc;Clippers are simple commercial ships using sails and wind for movement. Fabric and lumber are needed in this shipyard.;Les voiliers marchands sont de simples navires commerciaux qui utilisent leurs voiles et le vent pour se déplacer. Ce chantier naval a besoin de tissus et de bois de scierie.;Klipper sind einfache Handelssegler. Ihre Werften brauchen Stoff und Holz.;;Los clíperes son simples barcos comerciales que utilizan viento y velas para moverse. En este astillero hace falta disponer de tela y tablones.;;;;;;x;;;;;;;,,,,,,,,,,,
coal;Coal;Charbon;Kohle;;Carbón;;;;;;;;;x;;;;,,,,,,,,,,,
coal_RGO_SIZE;Coal mine size;Taille de la mine de charbon ;Kohlengrube-Größe;;Tamaño de la mina de carbón;;;;;;;;;x;;;;,,,,,,,,,,,
coffee;Coffee;Café;Kaffee;;Café;;;;;;;;;x;;;;,,,,,,,,,,,
coffee_RGO_SIZE;Coffee plantation size;Taille de la plantation de café;Kaffeeplantage-Größe;;Tamaño de la plantación de café;;;;;;;;;x;;;;,,,,,,,,,,,
computer_factory;Computer Factory;x;;;;;;;;;,,,,,,,,,,,
computer_factory_desc;Glass, electric gear, rubber and rare metals are needed to produce computers.;x;;;;;;;;;,,,,,,,,,
computers;Computers;x;;;;;;;;;,,,,,,,,,,,
consumer_goods;Consumer Goods;Biens de consommation;Gebrauchsgüter;;Bienes consumo;;;;;;;;;x;;;;,,,,,,,,,,,
cotton;Cotton;Coton;Baumwolle;;Algodón;;;;;;;;;x;;;;,,,,,,,,,,,
cotton_RGO_SIZE;Cotton plantation size;Taille de la plantation de coton;Baumwollplantage-Größe;;Tamaño de la plantación de algodón;;;;;;;;;x;;;;,,,,,,,,,,,
dye;Dye;Colorants (teintures/pigments);Farbstoffe;;Tinte;;;;;;;;;x;;;;,,,,,,,,,,,
dye_factory;Dye Factory;Teinturerie;Farbstofffabrik;;Fábrica de tintes;;;;;;;;;x;;;;,,,,,,,,,,,
dye_factory_desc;Dye could not only be extracted from plantations, but it could also be synthetically produced using coal.;Les teintures pouvaient être issues de plantations ou être produites de manière synthétique à partir de charbon.;Farbstoffe konnten nicht nur auf Plantagen gewonnen, sondern auch synthetisch mit Kohle produziert werden.;;El tinte no sólo se extraía de las plantaciones, sino que también podía sintetizarse mediante carbón.;;;;;;x;;;;;;;,,,,,,,,
dye_RGO_SIZE;Dye plantation size;Taille de la plantation de plantes tinctoriales;Farbstoffplantage-Größe;;Tamaño de la plantación de tinte;;;;;;;;;x;;;;,,,,,,,,,,,
electric_gear;Electric Gear;Composants électriques;Elektroteile;;Componentes eléctricos;;;;;;;;;x;;;;,,,,,,,,,,,
electric_gear_factory;Electric Gear Factory;Usine de composants électriques;Elektroteilefabrik;;Fábrica de componentes eléctricos;;;;;;;;;x;;;;,,,,,,,,,,,
electric_gear_factory_desc;Using rubber, coal and iron, electric gear is produced. Electric gear is needed for a variety of things, among them automobiles and aeroplanes.;Les composants électriques sont produits à l'aide de caoutchouc, de charbon et de fer. Les composants électriques sont nécessaires dans différents secteurs, notamment pour la production d'automobiles et d'avions.;Elektroteile werden mit Gummi, Kohle und Eisen produziert. Elektroteile sind wichtig für eine Reihe von Produkten, unter anderem für Automobile und Flugzeuge.;;Los componentes eléctricos se producen mediante caucho, hierro y carbón. Estos componentes se necesitan para muchas cosas, entre ellas, automóviles y aeroplanos.;;;;;;x;;;;;;;,
entertainment_goods;Entertainment Products;x;;;;;;;;;,,,,,,,,,,,
entertainment_industry;Entertainment Industry;x;;;;;;;;;,,,,,,,,,,,
explosives;Explosives;Explosifs;Sprengstoffe;;Explosivos;;;;;;;;;x;;;;,,,,,,,,,,,
explosives_factory;Explosives Factory;Usine d'explosifs;Sprengstofffabrik;;Fábrica de explosivos;;;;;;;;;x;;;;,,,,,,,,,,,
explosives_factory_desc;Using fertilizer and ammunition, explosives are produced. These explosives were needed mainly for artillery.;Les explosifs sont produits à partir d'engrais et de munitions. Ils étaient principalement utilisés par l'artillerie.;Mit Dünger und Munition werden Sprengstoffe hergestellt, die hauptsächlich von der Artillerie benötigt werden. ;;Con fertilizante y munición se hacen explosivos. Éstos se necesitan básicamente para la artillería.;;;;;;x;;;;;;;,,,,,,,,,
explosives_production_desc;The Victorian era witnessed tremendous advances in man's capacity for blowing things up. An era that had started with little more advanced than simple black powder would, at the end of it, have seen the advent of both plastic explosives and nitroglycerin.;Les explosifs ont connu de formidables progrès au cours de l'ère victorienne qui a débuté avec la poudre à canon pour se terminer avec l'avènement du plastic et de la nitroglycérine.;Das viktorianische Zeitalter war Schauplatz gewaltiger Fortschritte der Menschen dabei, Sachen in die Luft zu jagen. Zu Beginn dieser Ära wurde noch mit einfachem Schwarzpulver hantiert, bei ihrem Ende gab es Plastiksprengstoffe und Nitroglyzerin.;;La era victoriana fue testigo de tremendos avances en la capacidad del ser humano para hacer explotar cosas. Una era que había empezado con poco más avance que la simple pólvora negra, acabaría contemplando la aparición tanto de los explosivos plásticos como de la nitroglicerina.;;;;;;;;;x;,,,,,,
fabric;Fabric;Tissu;Stoffe;;Telas;;;;;;;;;x;;;;,,,,,,,,,,,
fabric_factory;Fabric Factory;Fabrique de tissus;Stofffabrik;;Fábrica de telas;;;;;;;;;x;;;;,,,,,,,,,,,
fabric_factory_desc;Cotton is processed into fabric here. Fabric is a tightly woven textile which is, among other things, used to produce sails for ships as well as clothing.;Le coton est ici transformé en tissu qui sert notamment à fabriquer les voiles des navires ainsi que des vêtements.;Baumwolle wird hier zu Stoffen verarbeitet. Stoffe sind dicht gewebte Textilien und werden unter anderem für Segel und Kleidung gebraucht.;;Aquí se produce tela utilizando algodón. La tela es un paño compactamente tejido que se usa, entre otras cosas, para producir velas para barcos, además de ropa.;;;;;;x;;;;;;;,,,,,,
fertilizer;Fertilizer;Engrais;Dünger;;Fertilizante;;;;;;;;;x;;;;,,,,,,,,,,,
fertilizer_factory;Fertilizer Factory;Usine d’engrais;Düngerfabrik;;Fábrica de fertilizantes;;;;;;;;;x;;;;,,,,,,,,,,,
fertilizer_factory_desc;In this factory, sulphur is processed into fertilizer. These fertilizers are used to increase the productivity of farms.;Dans cette usine, le soufre est transformé en engrais. Ce dernier permet d'améliorer la productivité des fermes.;In dieser Fabrik wird Schwefel zu Dünger verarbeitet. Diese Dünger werden auf Farmen zur Produktivitätserhöhung eingesetzt.;;En esta fábrica se procesa azufre para convertirlo en fertilizantes. Éstos se utilizan para aumentar la productividad de las granjas.;;;;;;x;;;;;;;,,,,,,,,,
fish;Fish;Poisson;Fische;;Pescado;;;;;;;;;x;;;;,,,,,,,,,,,
fish_RGO_SIZE;Fishing wharf size;Taille du quai de pêche;Fischereihafen-Größe;;Tamaño del muelle de pesca;;;;;;;;;x;;;;,,,,,,,,,,,
fruit;Fruit;Fruits;Früchte;;Fruta;;;;;;;;;x;;;;,,,,,,,,,,,
fruit_RGO_SIZE;Orchard size;Taille du verger;Obstgarten-Größe;;Tamaño del huerto;;;;;;;;;x;;;;,,,,,,,,,,,
fuel;Fuel;Carburant;Treibstoff;;Combustible;;;;;;;;;x;;;;,,,,,,,,,,,
fuel_refinery;Fuel Refinery;Raffinerie de carburant;Treibstoffraffinerie;;Refinería de petróleo;;;;;;;;;x;;;;,,,,,,,,,,,
fuel_refinery_desc;The fuel factory processes oil into fuel for automobiles.;La raffinerie transforme le pétrole en carburant pour les automobiles.;Die Treibstoffraffinerie verarbeitet Öl zu Treibstoffen für Automobile.;;La refinería procesa el crudo y lo convierte en combustible para vehículos.;;;;;;x;;;;;;;,,,,,,,,,,,
furniture;Furniture;Meubles;Möbel;;Muebles;;;;;;;;;x;;;;,,,,,,,,,,,
furniture_factory;Furniture Factory;Fabrique de meubles;Möbelfabrik;;Fábrica de muebles;;;;;;;;;x;;;;,,,,,,,,,,,
furniture_factory_desc;Furniture is made using lumber. It is a necessity for every home and thus available to the general populace.;Les meubles sont fabriqués avec du bois de scierie. Ils sont indispensables à tous les foyers et sont donc accessibles au grand public.;Möbel aus Schnittholz sind eine Notwendigkeit für jedes Heim und daher der allgemeinen Bevölkerung zugänglich.;;Para los muebles se utilizan tablones. El mobiliario es una necesidad común y, por tanto, está al alcance de la población general.;;;;;;x;;;;;;;,,,,,,,,,
glass;Glass;Verre;Glas;;Vidrio;;;;;;;;;x;;;;,,,,,,,,,,,
glass_factory;Glass Factory;Verrerie;Glashütte;;Fábrica de vidrio;;;;;;;;;x;;;;,,,,,,,,,,,
glass_factory_desc;This factory requires coal to produce glass. Glass is used mainly for mirrors and windows.;Du charbon est nécessaire pour produire du verre. Le verre est principalement utilisé pour produire des miroirs et des fenêtres.;Diese Fabrik braucht Kohle zur Glasproduktion. Glas wird hauptsächlich für Spiegeln und Fenstern verwendet.;;Esta fábrica necesita carbón para producir vidrio. Éste se utiliza básicamente para ventanas y espejos.;;;;;;x;;;;;;;,,,,,,,,,,,
grain;Grain;Céréales;Getreide;;Grano;;;;;;;;;x;;;;,,,,,,,,,,,
grain_RGO_SIZE;Grain farm size;Taille de la ferme céréalière;Getreidefarm-Größe;;Tamaño de la granja de grano;;;;;;;;;x;;;;,,,,,,,,,,,
industrial_goods;Industrial Goods;Biens industriels;Industriegüter;;Productos industriales;;;;;;;;;x;;;;,,,,,,,,,,,
iron;Iron;Fer;Eisen;;Hierro;;;;;;;;;x;;;;,,,,,,,,,,,
iron_RGO_SIZE;Iron mine size;Taille de la mine de fer;Eisenerzmine-Größe;;Tamaño de la mina de hierro;;;;;;;;;x;;;;,,,,,,,,,,,
liquor;Liquor;Alcool;Schnaps;;Licor;;;;;;;;;x;;;;,,,,,,,,,,,
liquor_distillery;Liquor Distillery;Distillerie;Schnapsbrennerei;;Destilería de licor;;;;;;;;;x;;;;,,,,,,,,,,,
liquor_distillery_desc;Liquor is the alcohol available for the broad mass of the populace. Grain is the raw materiel to produce liquor.;Cette distillerie produit l'alcool accessible au grand public. Les céréales constituent la matière première nécessaire à la production de cet alcool.;Schnaps ist der Alkohol für die breite Masse. Getreide dient als Rohmaterial zur Schnapsproduktion.;;El licor es el alcohol disponible para la gran masa de la población. El grano es la materia prima para producir licor.;;;;;;x;;;;;;;,,,,,,,,,,,
lumber;Lumber;Bois de scierie;Schnittholz;;Tablones;;;;;;;;;x;;;;,,,,,,,,,,,
lumber_mill;Lumber Mill;Scierie;Sägemühle;;Aserradero;;;;;;;;;x;;;;,,,,,,,,,,,
lumber_mill_desc;In a lumber mill, timber is processed into lumber. Lumber can then be used for buildings, paper, ships or furniture.;La scierie transforme la matière première en bois débité. Ce bois sert à construire des bâtiments, des navires, des meubles ou à fabriquer du papier.;In Sägemühlen wird Holz zu Schnittholz verarbeitet, das dann für Gebäude, Papier, Schiffe oder Möbel verwendet werden kann.;;En un aserradero, la madera se convierte en tablones que se utilizan para edificios, papel, naves o muebles.;;;;;;x;;;;;;;
lunar_goods;Lunar Resources;x;;;;;;;;;,,,,,,,,,,,
luxury_clothes;Luxury Clothes;Vêtements de luxe;Luxuskleidung;;Ropa de lujo;;;;;;;;;x;;;;,,,,,,,,,,,
luxury_clothes_factory;Luxury Clothes Factory;Atelier de vêtements de luxe;Luxuskleiderfabrik;;Fábrica de ropa de lujo;;;;;;;;;x;;;;,,,,,,,,,,,
luxury_clothes_factory_desc;In this factory, regular clothes are reworked using silk to produce luxury clothes for the rich strata’s of the populace.;Dans cette usine, les vêtements ordinaires sont retraités avec de la soie afin de produire des vêtements de soie pour les classes supérieures de la population.;In dieser Fabrik werden normale Kleidungsstücke unter Verwendung von Seide zu Kleidung für die reichen Bevölkerungsschichten umgearbeitet.;;En estas fábricas se transforman ropas normales usando seda para producir vestidos de lujo para las clases altas.;;;;;;x;;;;;;;,,,,,,,,,
luxury_furniture;Luxury Furniture;Meubles de luxe;Luxusmöbel;;Muebles de lujo;;;;;;;;;x;;;;,,,,,,,,,,,
luxury_furniture_factory;Luxury Furniture Factory;Fabrique de meubles de luxe;Luxusmöbelfabrik;;Fábrica de muebles de lujo;;;;;;;;;x;;;;,,,,,,,,,,,
luxury_furniture_factory_desc;Here, furniture is transformed into a luxury good using tropical wood. The resulting luxury furniture is used by the rich strata’s of the population for their homes.;Les meubles sont ici transformés en produits de luxe grâce à du bois exotique. Le mobilier de luxe qui en résulte est acheté par les classes supérieures de la population.;Hier werden Möbel mit Tropenhölzern in Luxusgüter verwandelt. Die fertigen Tropenmöbel werden von den reichen Bevölkerungsschichten für ihre Häuser gekauft.;;Aquí, los muebles se transforman en bienes de lujo mediante madera tropical. Las clases altas de la población utilizan en sus casas el lujoso mobiliario resultante.;;;;;;x;;;;;;;,,,,,,,,,
machine_parts;Machine Parts;Pièces mécaniques;Maschinenteile;;Piezas de maquinaria;;;;;;;;;x;;;;,,,,,,,,,,,
machine_parts_factory;Machine Parts Factory;Usine de pièces mécaniques;Maschinenteilefabrik;;Fábrica de piezas de maquinaria;;;;;;;;;x;;;;,,,,,,,,,,,
machine_parts_factory_desc;Machine parts are very important tools for every industrial plant. Steel and Coal are required to produce them.;Les pièces mécaniques sont indispensables à toutes les usines. De l'acier et du charbon sont nécessaires pour les produire.;Maschinenteile sind sehr wichtig für jede Fabrik. Stahl und Kohle sind für ihre Produktion erforderlich.;;Las piezas de maquinaria son elementos muy importantes de toda planta industrial. Hay que disponer de acero y carbón para producirlas.;;;;;;x;;;;;;;,,,,,,,,,,,
martian_goods;Martian Resources;x;;;;;;;;;,,,,,,,,,,,
military_goods;Military Goods;Equipements militaires;Militärgüter;;Productos militares;;;;;;;;;x;;;;,,,,,,,,,,,
naval_base;Naval Base;Base navale;Marinestützpunkt;;Base naval;;;;;;;;;x;;;;,,,,,,,,,,,
nuclear_weapons;Nuclear Weapons;x;;;;;;;;;,,,,,,,,,,,
nuclear_weapons_factory;Nuclear Weapons Facility;x;;;;;;;;;,,,,,,,,,,,
nuclear_weapons_factory_desc;Uranium, a rare metal, electric components and machine parts are needed to produce nuclear weapons.;x;;;;;;;;;,,,,,,,,,
oil;Oil;Pétrole;Öl;;Petróleo;;;;;;;;;x;;;;,,,,,,,,,,,
oil_RGO_SIZE;Oil rig size;Taille du puits de pétrole;Ölbohrplattform-Größe;;Tamaño de la plataforma petrolífera;;;;;;;;;x;;;;,,,,,,,,,,,
opium;Opium;Opium;Opium;;Opio;;;;;;;;;x;;;;,,,,,,,,,,,
opium_RGO_SIZE;Opium plantation size;Taille de la plantation d'opium;Opiumplantage-Größe;;Tamaño de la plantación de opio;;;;;;;;;x;;;;,,,,,,,,,,,
paper;Paper;Papier;Papier;;Papel;;;;;;;;;x;;;;,,,,,,,,,,,
paper_mill;Paper Mill;Papeterie;Papiermühle;;Fábrica de papel;;;;;;;;;x;;;;,,,,,,,,,,,
paper_mill_desc;A paper mill is using lumber to produce paper. Paper is used for books, newspapers and other means of information.;Une papeterie utilise du bois de scierie pour produire du papier. Le papier est utilisé pour les livres, les journaux et les autres moyens d'information.;In einer Papiermühle wird Papier produziert. Papier wird zur Produktion von Büchern, Zeitungen und anderen Informationsmedien verwendet.;;Esta fábrica utiliza tablones para hacer papel que se emplea para libros, periódicos y otros medios de información.;;;;;;x;;;;;;;,,,,,,,
precious_metal;Precious Metal;Métaux précieux;Edelmetall;;Metales preciosos;;;;;;;;;x;;;;,,,,,,,,,,,
precious_metal_desc;Precious Metals are not sold as normal goods but directly converted to money.;Contrairement aux autres marchandises, les métaux précieux ne se vendent pas. Ils sont directement convertis en monnaie.;Edelmetalle werden nicht als normale Güter verkauft, sondern direkt in Geld umgewandelt.;;Los metales preciosos no se venden como mercancías normales, sino que se convierten directamente en dinero.;;;;;;;;;x;,,,,,,,,
precious_metal_RGO_SIZE;Precious metal mine size;Taille de la mine de métaux précieux;Edelmetallmine-Größe;;Tamaño de la mina de metales preciosos;;;;;;;;;x;;;;,,,,,,,,,,,
radio;Radio;Radio;Radio;;Radios;;;;;;;;;x;;;;,,,,,,,,,,,
radio_factory;Radio Factory;Usine de radios;Radiofabrik;;Fábrica de radios;;;;;;;;;x;;;;,,,,,,,,,,,
radio_factory_desc;Radios were one of the first mass consumer goods of the 20th century. Glass and electric gears are required for this.;Les radios furent parmi les premiers biens de consommation de masse du XXe siècle. Du verre et des composants électriques sont nécessaires pour les produire.;Radiogeräte gehörten zu den ersten Massengebrauchsgütern des zwanzigstens Jahrhunderts. Für diese Geräte werden Glas und Elektroteile benötigt.;;Las radios fueron uno de los primeros bienes de consumo masivo del siglo XX. Requiere vidrio y equipos eléctricos.;;;;;;x;;;;;;;,,,,,,,,,,,
railroad;Railroad;Chemin de fer;Eisenbahn;;Ferrocarril;;;;;;;;;x;;;;,,,,,,,,,,,
raw_material_goods;Raw Material Goods;Matières premières;Rohmaterialen;;Materias primas;;;;;;;;;x;;;;,,,,,,,,,,,
regular_clothes;Regular Clothes;Vêtements;Kleidung;;Ropa normal;;;;;;;;;x;;;;,,,,,,,,,,,
regular_clothes_factory;Regular Clothes Factory;Usine d'habillement;Kleiderfabrik;;Fábrica de ropa normal;;;;;;;;;x;;;;,,,,,,,,,,,
regular_clothes_factory_desc;Fabric and dye are the prerequisites for this factory were the clothes for the general populace are produced.;Le tissu et les teintures sont indispensables à cette usine où sont produits les vêtements destinés au grand public.;Stoff und Farbstoffe sind die Voraussetzungen für diese Fabrik, in der Kleidung für die allgemeine Bevölkerung produziert werden.;;La tela y el tinte son prerrequisitos para esta fábrica, donde se produce ropa para la población en general.;;;;;;x;;;;;;;,,,,,,,,,
rubber;Rubber;Caoutchouc;Gummi;;Caucho;;;;;;;;;x;;;;,,,,,,,,,,,
rubber_RGO_SIZE;Rubber lodge size;Taille de l'exploitation de caoutchouc;Gummiplantage-Größe;;Tamaño del campamento cauchero;;;;;;;;;x;;;;,,,,,,,,,,,
silk;Silk;Soie;Seide;;Seda;;;;;;;;;x;;;;,,,,,,,,,,,
silk_RGO_SIZE;Silkworm ranch size;Taille de l'élevage de vers à soie;Seidenraupenfarm-Größe;;Tamaño del rancho de gusanos de seda;;;;;;;;;x;;;;,,,,,,,,,,,
small_arms;Small Arms;Armes de poing/d'épaules;Handfeuerwaffen;;Armas ligeras;;;;;;;;;x;;;;,,,,,,,,,,,
small_arms_factory;Small Arms Factory;Usine d'armes légères;Handfeuerwaffenfabrik;;Fábrica de armas ligeras;;;;;;;;;x;;;;,,,,,,,,,,,
small_arms_factory_desc;Steel and ammunitions are required to produce small arms. These are the basic equipment for all newly raised divisions.;De l'acier et des munitions sont nécessaires pour produire des armes légères. Il s'agit de l'équipement de base de toutes les divisions nouvellement formées.;Stahl und Munition sind zur Herstellung von Handfeuerwaffen erforderlich, die die Grundausrüstung für alle neuen Divisionen darstellen.;;Aquí hace falta disponer de municiones y acero para producir armas ligeras. Éstas constituyen el equipo básico para las divisiones de nueva leva.;;;;;;x;;;;;;;,,,,,,,,,,
small_arms_production_desc;With the inventions of breech loaded rifles, mechanized rifle drilling, semi-automatics, and other technical improvements in weapons design, the industrial output of small arms was vastly increased during the 19th century.;Grâce à des inventions comme le fusil chargé par la culasse ou le semi-automatique, la production industrielle d'armes légères a considérablement augmenté au cours du XIXe siècle.;Während des neunzehnten Jahrhunderts erhöhte sich die industrielle Herstellung von Handfeuerwaffen durch die Erfindung von Hinterladern, mechanisierter Waffenlauffertigung, halbautomatischen Waffen und anderen technischen Neuerungen stark.;;Con la invención de los fusiles postcarga, el fresado mecanizado de fusiles, las semiautomáticas, y otras mejoras técnicas en el diseño de armas, se produjo un enorme incremento en la producción de armas ligeras durante el siglo XIX.;;;;;;;;;x;
spices;Spices;x;;;;;;;;;,,,,,,,,,,,
